STATION,DATE,TAVG,TMAX,TMIN
USC00193821,1/1/2019,,55,23
USC00193821,1/2/2019,,59,30
USC00193821,1/3/2019,,39,27
USC00193821,1/4/2019,,48,31
USC00193821,1/5/2019,,48,30
USC00193821,1/6/2019,,45,33
USC00193821,1/7/2019,,46,21
USC00193821,1/8/2019,,35,21
USC00193821,1/9/2019,,45,35
USC00193821,1/10/2019,,47,31
USC00193821,1/11/2019,,37,23
USC00193821,1/12/2019,,34,15
USC00193821,1/13/2019,,31,15
USC00193821,1/14/2019,,31,19
USC00193821,1/15/2019,,34,22
USC00193821,1/16/2019,,36,19
USC00193821,1/17/2019,,41,19
USC00193821,1/18/2019,,31,22
USC00193821,1/19/2019,,39,29
USC00193821,1/20/2019,,49,30
USC00193821,1/21/2019,,52,4
USC00193821,1/22/2019,,19,4
USC00193821,1/23/2019,,28,9
USC00193821,1/24/2019,,45,24
USC00193821,1/25/2019,,51,27
USC00193821,1/26/2019,,40,21
USC00193821,1/27/2019,,34,25
USC00193821,1/28/2019,,43,31
USC00193821,1/29/2019,,34,27
USC00193821,1/30/2019,,40,30
USC00193821,1/31/2019,,37,5
USC00193821,2/1/2019,,37,5
USC00193821,2/2/2019,,23,11
USC00193821,2/3/2019,,34,15
USC00193821,2/4/2019,,36,30
USC00193821,2/5/2019,,53,35
USC00193821,2/6/2019,,60,35
USC00193821,2/7/2019,,46,33
USC00193821,2/8/2019,,42,36
USC00193821,2/9/2019,,47,24
USC00193821,2/10/2019,,35,21
USC00193821,2/11/2019,,36,23
USC00193821,2/12/2019,,35,23
USC00193821,2/13/2019,,47,27
USC00193821,2/14/2019,,48,30
USC00193821,2/15/2019,,41,29
USC00193821,2/16/2019,,48,36
USC00193821,2/17/2019,,45,26
USC00193821,2/18/2019,,37,27
USC00193821,2/19/2019,,37,18
USC00193821,2/20/2019,,33,18
USC00193821,2/21/2019,,37,20
USC00193821,2/22/2019,,48,35
USC00193821,2/23/2019,,45,29
USC00193821,2/24/2019,,43,33
USC00193821,2/25/2019,,45,36
USC00193821,2/26/2019,,39,25
USC00193821,2/27/2019,,33,16
USC00193821,2/28/2019,,26,17
USC00193821,3/1/2019,,29,14
USC00193821,3/2/2019,,35,21
USC00193821,3/3/2019,,34,27
USC00193821,3/4/2019,,43,32
USC00193821,3/5/2019,,43,19
USC00193821,3/6/2019,,32,20
USC00193821,3/7/2019,,28,13
USC00193821,3/8/2019,,29,14
USC00193821,3/9/2019,,35,15
USC00193821,3/10/2019,,44,26
USC00193821,3/11/2019,,44,33
USC00193821,3/12/2019,,49,32
USC00193821,3/13/2019,,46,30
USC00193821,3/14/2019,,45,27
USC00193821,3/15/2019,,47,36
USC00193821,3/16/2019,,54,43
USC00193821,3/17/2019,,54,30
USC00193821,3/18/2019,,44,25
USC00193821,3/19/2019,,43,24
USC00193821,3/20/2019,,46,25
USC00193821,3/21/2019,,47,31
USC00193821,3/22/2019,,46,38
USC00193821,3/23/2019,,46,31
USC00193821,3/24/2019,,49,31
USC00193821,3/25/2019,,50,35
USC00193821,3/26/2019,,47,31
USC00193821,3/27/2019,,45,27
USC00193821,3/28/2019,,45,31
USC00193821,3/29/2019,,45,32
USC00193821,3/30/2019,,53,38
USC00193821,3/31/2019,,57,47
USC00193821,4/1/2019,,57,34
USC00193821,4/2/2019,,49,24
USC00193821,4/3/2019,,46,28
USC00193821,4/4/2019,,55,38
USC00193821,4/5/2019,,54,34
USC00193821,4/6/2019,,44,34
USC00193821,4/7/2019,,57,34
USC00193821,4/8/2019,,53,45
USC00193821,4/9/2019,,52,36
USC00193821,4/10/2019,,51,38
USC00193821,4/11/2019,,45,30
USC00193821,4/12/2019,,50,35
USC00193821,4/13/2019,,55,42
USC00193821,4/14/2019,,56,49
USC00193821,4/15/2019,,69,51
USC00193821,4/16/2019,,60,42
USC00193821,4/17/2019,,59,42
USC00193821,4/18/2019,,59,39
USC00193821,4/19/2019,,56,38
USC00193821,4/20/2019,,62,53
