,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES
0,,,1942-08-18,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.01,",,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1942-08-19,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",,,,,,,USC00190190,,,,,,,,,,,,,,,,,,,    1,",,6",,,,,,,,,,
2,,,1942-08-20,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",,,,,,,USC00190190,,,,,,,,,,,,,,,,,,,    1,",,6",,,,,,,,,,
3,,,1942-08-21,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",,,,,,,USC00190190,,,,,,,,,,,,,,,,,,,    1,",,6",,,,,,,,,,
4,,,1942-08-22,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",,,,,,,USC00190190,,,,,,,,,,,,,,,,,,,    1,",,6",,,,,,,,,,
5,,,1942-08-29,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.27,",,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,1942-08-30,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"T,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,1942-09-01,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"P,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,1942-09-02,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"P,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,1942-09-03,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"P,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,1942-09-04,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"P,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,1942-09-05,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.13,",,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,1942-09-06,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.08,",,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,1942-09-07,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"P,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,1942-09-08,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"P,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,1942-09-09,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"P,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,6",,
16,,,1942-09-10,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.33,",,6,",,,,,USC00190190,,,,,,,,,    1,",,6",,,,,,,,,,,,,,,,,,,,
17,,,1942-09-11,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.80,",,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,6",,,,
18,,,1942-09-12,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.36,",,6,",,,,,USC00190190,,,,,,,,,    1,",,6",,,,,,,,,,,,,,,,,,,,
19,,,1942-09-13,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.07,",,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,1942-09-14,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"P,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,1942-09-15,337.7,42.6178,-71.9159,,,"ASHBURNHAM, MA US",0.00,"P,,6,",,,,,USC00190190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
