,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
0,,,1959-02-01,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,18,",,0",1,",,0",13,",,0,0800",,,,,,,,,,,,
1,,,1959-02-02,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,18,",,0",-2,",,0",17,",,0,0800",,,,,,,,,,,,
2,,,1959-02-03,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,36,",,0",5,",,0",33,",,0,0800",,,,,,,,,,,,
3,,,1959-02-04,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.50,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,42,",,0",31,",,0",39,",,0,0800",,,,,,,,,,,,
4,,,1959-02-05,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,41,",,0",25,",,0",40,",,0,0800",,,,,,,,,,,,
5,,,1959-02-06,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,40,",,0",21,",,0",21,",,0,0800",,,,,,,,,,,,
6,,,1959-02-07,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,29,",,0",5,",,0",29,",,0,0800",,,,,,,,,,,,
7,,,1959-02-08,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,34,",,0",23,",,0",23,",,0,0800",,,,,,,,,,,,
8,,,1959-02-09,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,"T,,0,0800",0.0,"T,,0,",0.0,"T,,0,",USC00190408,23,",,0",-3,",,0",11,",,0,0800",,,,,    1,",,0",,,,,,
9,,,1959-02-10,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.65,",,0,0800",2.1,",,0,",2.0,",,0,",USC00190408,32,",,0",11,",,0",32,",,0,0800",    1,",,0",,,,,,,,,,
10,,,1959-02-11,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.18,",,0,0800",3.6,",,0,",6.0,",,0,",USC00190408,32,",,0",14,",,0",14,",,0,0800",,,,,,,,,,,,
11,,,1959-02-12,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",6.0,",,0,",USC00190408,26,",,0",-7,",,0",21,",,0,0800",,,,,,,,,,,,
12,,,1959-02-13,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.02,",,0,0800",0.0,",,0,",5.0,",,0,",USC00190408,41,",,0",17,",,0",41,",,0,0800",,,,,,,,,,,,
13,,,1959-02-14,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",5.0,",,0,",USC00190408,41,",,0",18,",,0",37,",,0,0800",,,,,,,,,,,,
14,,,1959-02-15,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.45,",,0,0800",0.0,",,0,",4.0,",,0,",USC00190408,37,",,0",27,",,0",27,",,0,0800",,,,,    1,",,0",,,,,,
15,,,1959-02-16,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",3.0,",,0,",USC00190408,34,",,0",4,",,0",34,",,0,0800",,,,,,,,,,,,
