,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES
0,,,1942-01-01,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.45,",,6,",0.5,",,6,",,,USC00190562,55,",,6",25,",,6",55,",,6,",,,,,    1,",,6",,,,,,,,,,,,,,,,
1,,,1942-01-02,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.41,",,6,",4.0,",,6,",,,USC00190562,55,",,6",25,",,6",27,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
2,,,1942-01-03,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.23,",,6,",2.5,",,6,",,,USC00190562,38,",,6",22,",,6",28,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
3,,,1942-01-04,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"T,,6,",0.0,"T,,6,",,,USC00190562,53,",S,6",2,",,6",4,",,6,",,,,,,,,,,,,,,,,,,,,,,
4,,,1942-01-05,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,32,",,6",12,",I,6",7,",,6,",,,,,,,,,,,,,,,,,,,,,,
5,,,1942-01-06,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,15,",,6",-5,",,6",3,",,6,",,,,,,,,,,,,,,,,,,,,,,
6,,,1942-01-07,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,11,",,6",-11,",,6",-7,",,6,",,,,,,,,,,,,,,,,,,,,,,
7,,,1942-01-08,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,12,",,6",-10,",,6",-3,",,6,",,,,,,,,,,,,,,,,,,,,,,
8,,,1942-01-09,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.06,",,6,",0.5,",,6,",,,USC00190562,16,",,6",-4,",,6",15,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
9,,,1942-01-10,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,20,",,6",-14,",,6",-3,",,6,",,,,,,,,,,,,,,,,,,,,,,
