,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT11,WT11_ATTRIBUTES
0,,,2007-05-01,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",,,USC00190840,68,",,0",46,",,0",52,",,0,0800",,,,,,,,,,,,
1,,,2007-05-02,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.08,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,68,",,0",47,",,0",48,",,0,0800",,,,,,,,,,,,
2,,,2007-05-03,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,68,",,0",32,",,0",50,",,0,0800",,,,,,,,,,,,
3,,,2007-05-04,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,67,",,0",34,",,0",48,",,0,0800",,,,,,,,,,,,
4,,,2007-05-05,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,67,",,0",32,",,0",45,",,0,0800",,,,,,,,,,,,
5,,,2007-05-06,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.12,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,52,",,0",45,",,0",45,",,0,0800",,,,,,,,,,,,
6,,,2007-05-07,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,67,",,0",28,",,0",33,",I,0,0800",,,,,,,,,,,,
7,,,2007-05-08,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,74,",,0",41,",I,0",50,",,0,0800",,,,,,,,,,,,
8,,,2007-05-09,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,83,",,0",50,",,0",61,",,0,0800",,,,,,,,,,,,
9,,,2007-05-10,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,81,",,0",61,",,0",65,",,0,0800",,,,,,,,,,,,
10,,,2007-05-11,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,73,",,0",61,",,0",60,",,0,0800",,,,,,,,,,,,
11,,,2007-05-12,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,60,",,0",57,",,0",59,",,0,0800",,,,,,,,,,,,
12,,,2007-05-13,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.02,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,65,",,0",46,",,0",48,",,0,0800",,,,,,,,,,,,
13,,,2007-05-14,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,74,",,0",32,",,0",45,",,0,0800",,,,,,,,,,,,
14,,,2007-05-15,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,71,",,0",45,",,0",53,",,0,0800",,,,,,,,,,,,
15,,,2007-05-16,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.00,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,82,",,0",53,",,0",60,",,0,0800",,,,,,,,,,,,
16,,,2007-05-17,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.25,",,0,0800",0.0,"P,,0,",0.0,"P,,0,",USC00190840,61,",,0",46,",,0",47,",,0,0800",,,,,,,,,,,,
17,,,2007-05-18,12.2,41.9538,-70.9571,,,"BRIDGEWATER, MA US",0.56,",,0,0800",,,0.0,"P,,0,",USC00190840,44,",I,0",42,",,0",42,",,0,0800",,,,,,,,,,,,
