,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
0,,,,,1959-05-01,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.15,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,52,",,0",38,",,0",43,",,0,0800",,,,,,,,,,,,
1,,,,,1959-05-02,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.05,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,61,",,0",35,",,0",46,",,0,0800",,,,,,,,,,,,
2,,,,,1959-05-03,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,63,",,0",38,",,0",57,",,0,0800",,,,,,,,,,,,
3,,,,,1959-05-04,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,68,",,0",34,",,0",54,",,0,0800",,,,,,,,,,,,
4,,,,,1959-05-05,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,72,",,0",37,",,0",50,",,0,0800",,,,,,,,,,,,
5,,,,,1959-05-06,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,72,",,0",39,",,0",56,",,0,0800",,,,,,,,,,,,
6,,,,,1959-05-07,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,78,",,0",44,",,0",51,",,0,0800",,,,,,,,,,,,
7,,,,,1959-05-08,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,73,",,0",49,",,0",56,",,0,0800",,,,,,,,,,,,
8,,,,,1959-05-09,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,64,",,0",31,",,0",54,",,0,0800",,,,,,,,,,,,
9,,,,,1959-05-10,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,70,",,0",36,",,0",61,",,0,0800",,,,,,,,,,,,
10,,,,,1959-05-11,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,74,",,0",50,",,0",60,",,0,0800",,,,,,,,,,,,
11,,,,,1959-05-12,158.5,42.1163,-71.9074,,,,,"BUFFUMVILLE LAKE, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190998,84,",,0",57,",,0",64,",,0,0800",,,,,,,,,,,,
