,AWND,AWND_ATTRIBUTES,DATE,ELEVATION,FMTM,FMTM_ATTRIBUTES,LATITUDE,LONGITUDE,NAME,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT22,WT22_ATTRIBUTES
0,,,1998-04-01,190.5, 0613,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0613,",,W",0.61,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,48,",,W",58,",,W",38,",,W",    0,",,W",   50,",,W",   45,",,W",33.1,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1998-04-02,190.5, 0120,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0333,",,W",0.27,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,40,",,W",43,",,W",37,",,W",    0,",,W",   90,",,W",   45,",,W",19.9,",,W",23.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1998-04-03,190.5, 1753,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1748,",,W",0.00,"T,,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,47,",,W",56,",,W",38,",,W",  384,",,W",  300,",,W",  293,",,W",27.1,",,W",36.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1998-04-04,190.5, 2302,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2235,",,W",0.00,"T,,W,",,,0.0,"T,,W,",0.0,",,W,",USW00014753,37,",,W",41,",,W",33,",,W",  108,",,W",  360,",,W",    0,",,W",19.9,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1998-04-05,190.5, 0445,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0444,",,W",0.00,"T,,W,",,,0.0,"T,,W,",0.0,",,W,",USW00014753,37,",,W",42,",,W",32,",,W",    0,",,W",  360,",,W",  338,",,W",23.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,1998-04-06,190.5, 1440,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1214,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,43,",,W",51,",,W",35,",,W",   76,",,W",  320,",,W",  315,",,W",23.0,",,W",29.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,1998-04-07,190.5, 1043,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0933,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,51,",,W",64,",,W",37,",,W",  757,",,W",  320,",,W",  315,",,W",21.9,",,W",29.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,1998-04-08,190.5, 1328,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1328,",,W",0.12,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,50,",,W",60,",,W",40,",,W",  415,",,W",   60,",,W",   68,",,W",19.0,",,W",23.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,1998-04-09,190.5, 2148,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2147,",,W",0.45,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,47,",,W",55,",,W",38,",,W",  236,",,W",   60,",,W",   45,",,W",30.0,",,W",40.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,1998-04-10,190.5, 0155,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0212,",,W",0.22,",,W,",,,0.1,",,W,",0.0,"T,,W,",USW00014753,42,",,W",52,",,W",31,",,W",  623,",,W",   50,",,W",   45,",,W",34.9,",,W",55.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,1998-04-11,190.5, 0554,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1807,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,45,",,W",56,",,W",34,",,W",  767,",,W",  330,",,W",  135,",,W",16.1,",,W",21.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,1998-04-12,190.5, 1625,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1624,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,46,",,W",55,",,W",37,",,W",  753,",,W",   60,",,W",    0,",,W",19.9,",,W",29.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,1998-04-13,190.5, 1105,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1046,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,49,",,W",60,",,W",37,",,W",  756,",,W",   50,",,W",   45,",,W",19.9,",,W",30.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,1998-04-14,190.5, 2213,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1821,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,51,",,W",60,",,W",42,",,W",  727,",,W",  180,",,W",  180,",,W",21.9,",,W",29.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,1998-04-15,190.5, 0115,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0103,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,49,",,W",56,",,W",41,",,W",  152,",,W",  180,",,W",  180,",,W",17.0,",,W",21.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,1998-04-16,190.5, 2153,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2148,",,W",0.03,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,56,",,W",65,",,W",47,",,W",  177,",,W",  180,",,W",  180,",,W",25.9,",,W",32.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,1998-04-17,190.5, 1644,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1627,",,W",0.75,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,55,",,W",57,",,W",53,",,W",    0,",,W",  210,",,W",  225,",,W",31.1,",,W",40.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,1998-04-18,190.5, 0148,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1811,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,52,",,W",64,",,W",40,",,W",  446,",,W",  320,",,W",  270,",,W",28.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,1998-04-19,190.5, 2201,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 2200,",,W",0.02,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,52,",,W",59,",,W",45,",,W",    0,",,W",  140,",,W",  203,",,W",23.0,",,W",31.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,1998-04-20,190.5, 1659,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1534,",,W",0.81,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,47,",,W",52,",,W",42,",,W",   90,",,W",  320,",,W",  315,",,W",25.9,",,W",36.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,1998-04-21,190.5, 1622,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1357,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,53,",,W",65,",,W",40,",,W",  753,",,W",  320,",,W",  315,",,W",21.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,1998-04-22,190.5, 1509,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1509,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,59,",,W",70,",,W",48,",,W",  730,",,W",  150,",,W",  158,",,W",21.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,1998-04-23,190.5, 1534,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1737,",,W",1.51,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,47,",,W",52,",,W",41,",,W",    0,",,W",   50,",,W",   45,",,W",40.0,",,W",62.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,1998-04-24,190.5, 0019,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 0443,",,W",0.24,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,49,",,W",58,",,W",40,",,W",  157,",,W",   30,",,W",  338,",,W",25.1,",,W",38.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,1998-04-25,190.5, 1624,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1052,",,W",0.00,"T,,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,50,",,W",59,",,W",40,",,W",  398,",,W",  320,",,W",  315,",,W",30.0,",,W",42.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,1998-04-26,190.5, 1105,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1105,",,W",0.15,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,44,",,W",52,",,W",36,",,W",   75,",,W",  180,",,W",  180,",,W",19.9,",,W",23.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,1998-04-27,190.5, 1545,",,W",42.2123,-71.1137,"BLUE HILL LCD, MA US", 1546,",,W",0.00,",,W,",,,0.0,",,W,",0.0,",,W,",USW00014753,45,",,W",52,",,W",37,",,W",  684,",,W",  320,",,W",  315,",,W",28.0,",,W",34.9,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
