,STATION,NAME,DATE,SEASON,TMIN,TMAX,TAVG
0,USW00014739,"BOSTON, MA US",1937-01-01,WINTER,36,53,
1,USW00014739,"BOSTON, MA US",1937-01-02,WINTER,32,41,
2,USW00014739,"BOSTON, MA US",1937-01-03,WINTER,39,56,
3,USW00014739,"BOSTON, MA US",1937-01-04,WINTER,32,41,
4,USW00014739,"BOSTON, MA US",1937-01-05,WINTER,30,46,
5,USW00014739,"BOSTON, MA US",1937-01-06,WINTER,20,38,
6,USW00014739,"BOSTON, MA US",1937-01-07,WINTER,24,44,
7,USW00014739,"BOSTON, MA US",1937-01-08,WINTER,42,53,
8,USW00014739,"BOSTON, MA US",1937-01-09,WINTER,43,64,
9,USW00014739,"BOSTON, MA US",1937-01-10,WINTER,27,48,
10,USW00014739,"BOSTON, MA US",1937-01-11,WINTER,23,34,
11,USW00014739,"BOSTON, MA US",1937-01-12,WINTER,30,42,
12,USW00014739,"BOSTON, MA US",1937-01-13,WINTER,34,46,
13,USW00014739,"BOSTON, MA US",1937-01-14,WINTER,36,59,
14,USW00014739,"BOSTON, MA US",1937-01-15,WINTER,41,63,
15,USW00014739,"BOSTON, MA US",1937-01-16,WINTER,21,41,
16,USW00014739,"BOSTON, MA US",1937-01-17,WINTER,18,46,
17,USW00014739,"BOSTON, MA US",1937-01-18,WINTER,40,59,
18,USW00014739,"BOSTON, MA US",1937-01-19,WINTER,30,52,
19,USW00014739,"BOSTON, MA US",1937-01-20,WINTER,23,32,
20,USW00014739,"BOSTON, MA US",1937-01-21,WINTER,32,50,
21,USW00014739,"BOSTON, MA US",1937-01-22,WINTER,38,48,
22,USW00014739,"BOSTON, MA US",1937-01-23,WINTER,26,38,
23,USW00014739,"BOSTON, MA US",1937-01-24,WINTER,22,37,
24,USW00014739,"BOSTON, MA US",1937-01-25,WINTER,37,53,
25,USW00014739,"BOSTON, MA US",1937-01-26,WINTER,29,41,
26,USW00014739,"BOSTON, MA US",1937-01-27,WINTER,17,29,
27,USW00014739,"BOSTON, MA US",1937-01-28,WINTER,15,32,
28,USW00014739,"BOSTON, MA US",1937-01-29,WINTER,27,37,
29,USW00014739,"BOSTON, MA US",1937-01-30,WINTER,25,37,
30,USW00014739,"BOSTON, MA US",1937-01-31,WINTER,26,43,
31,USW00014739,"BOSTON, MA US",1937-02-01,WINTER,29,39,
32,USW00014739,"BOSTON, MA US",1937-02-02,WINTER,10,29,
33,USW00014739,"BOSTON, MA US",1937-02-03,WINTER,11,34,
34,USW00014739,"BOSTON, MA US",1937-02-04,WINTER,14,31,
35,USW00014739,"BOSTON, MA US",1937-02-05,WINTER,27,33,
36,USW00014739,"BOSTON, MA US",1937-02-06,WINTER,23,33,
37,USW00014739,"BOSTON, MA US",1937-02-07,WINTER,29,38,
38,USW00014739,"BOSTON, MA US",1937-02-08,WINTER,26,35,
39,USW00014739,"BOSTON, MA US",1937-02-09,WINTER,35,51,
40,USW00014739,"BOSTON, MA US",1937-02-10,WINTER,29,43,
41,USW00014739,"BOSTON, MA US",1937-02-11,WINTER,24,29,
42,USW00014739,"BOSTON, MA US",1937-02-12,WINTER,22,48,
43,USW00014739,"BOSTON, MA US",1937-02-13,WINTER,42,56,
44,USW00014739,"BOSTON, MA US",1937-02-14,WINTER,34,50,
45,USW00014739,"BOSTON, MA US",1937-02-15,WINTER,32,39,
46,USW00014739,"BOSTON, MA US",1937-02-16,WINTER,29,35,
47,USW00014739,"BOSTON, MA US",1937-02-17,WINTER,19,38,
48,USW00014739,"BOSTON, MA US",1937-02-18,WINTER,23,39,
49,USW00014739,"BOSTON, MA US",1937-02-19,WINTER,30,45,
50,USW00014739,"BOSTON, MA US",1937-02-20,WINTER,31,45,
51,USW00014739,"BOSTON, MA US",1937-02-21,WINTER,37,45,
52,USW00014739,"BOSTON, MA US",1937-02-22,WINTER,34,47,
53,USW00014739,"BOSTON, MA US",1937-02-23,WINTER,31,42,
54,USW00014739,"BOSTON, MA US",1937-02-24,WINTER,31,37,
55,USW00014739,"BOSTON, MA US",1937-02-25,WINTER,26,42,
56,USW00014739,"BOSTON, MA US",1937-02-26,WINTER,30,38,
57,USW00014739,"BOSTON, MA US",1937-02-27,WINTER,20,39,
58,USW00014739,"BOSTON, MA US",1937-02-28,WINTER,16,36,
59,USW00014739,"BOSTON, MA US",1937-03-01,WINTER,23,45,
60,USW00014739,"BOSTON, MA US",1937-03-02,WINTER,33,46,
61,USW00014739,"BOSTON, MA US",1937-03-03,WINTER,27,40,
62,USW00014739,"BOSTON, MA US",1937-03-04,WINTER,30,57,
