STATION,DATE,TAVG,TMAX,TMIN
USC00193821,1/1/1950,,42,20
USC00193821,1/2/1950,,41,26
USC00193821,1/3/1950,,48,40
USC00193821,1/4/1950,,56,46
USC00193821,1/5/1950,,59,47
USC00193821,1/6/1950,,50,45
USC00193821,1/7/1950,,54,28
USC00193821,1/8/1950,,28,11
USC00193821,1/9/1950,,44,6
USC00193821,1/10/1950,,41,24
USC00193821,1/11/1950,,51,32
USC00193821,1/12/1950,,39,19
USC00193821,1/13/1950,,43,23
USC00193821,1/14/1950,,55,42
USC00193821,1/15/1950,,48,28
USC00193821,1/16/1950,,52,37
USC00193821,1/17/1950,,41,29
USC00193821,1/18/1950,,49,26
USC00193821,1/19/1950,,43,22
USC00193821,1/20/1950,,32,17
USC00193821,1/21/1950,,29,16
USC00193821,1/22/1950,,40,29
USC00193821,1/23/1950,,49,30
USC00193821,1/24/1950,,45,38
USC00193821,1/25/1950,,45,36
USC00193821,1/26/1950,,56,36
USC00193821,1/27/1950,,53,35
USC00193821,1/28/1950,,40,23
USC00193821,1/29/1950,,50,36
USC00193821,1/30/1950,,48,38
USC00193821,1/31/1950,,38,30
USC00193821,2/1/1950,,37,28
USC00193821,2/2/1950,,43,32
USC00193821,2/3/1950,,42,29
USC00193821,2/4/1950,,42,22
USC00193821,2/5/1950,,32,22
USC00193821,2/6/1950,,42,14
USC00193821,2/7/1950,,40,26
USC00193821,2/8/1950,,32,21
USC00193821,2/9/1950,,45,19
USC00193821,2/10/1950,,48,36
USC00193821,2/11/1950,,43,36
USC00193821,2/12/1950,,47,27
USC00193821,2/13/1950,,42,30
USC00193821,2/14/1950,,36,30
USC00193821,2/15/1950,,42,32
USC00193821,2/16/1950,,42,33
USC00193821,2/17/1950,,43,30
USC00193821,2/18/1950,,42,29
USC00193821,2/19/1950,,45,25
USC00193821,2/20/1950,,38,8
USC00193821,2/21/1950,,24,-1
USC00193821,2/22/1950,,33,14
USC00193821,2/23/1950,,42,24
USC00193821,2/24/1950,,42,23
USC00193821,2/25/1950,,41,22
USC00193821,2/26/1950,,26,12
USC00193821,2/27/1950,,22,3
USC00193821,2/28/1950,,29,8
USC00193821,3/1/1950,,40,27
USC00193821,3/2/1950,,36,18
USC00193821,3/3/1950,,21,6
USC00193821,3/4/1950,,25,2
USC00193821,3/5/1950,,43,9
USC00193821,3/6/1950,,41,24
USC00193821,3/7/1950,,42,15
USC00193821,3/8/1950,,52,27
USC00193821,3/9/1950,,47,24
USC00193821,3/10/1950,,32,16
USC00193821,3/11/1950,,32,15
USC00193821,3/12/1950,,55,32
USC00193821,3/13/1950,,38,28
USC00193821,3/14/1950,,36,25
USC00193821,3/15/1950,,45,17
USC00193821,3/16/1950,,37,22
USC00193821,3/17/1950,,36,26
USC00193821,3/18/1950,,40,28
USC00193821,3/19/1950,,48,20
USC00193821,3/20/1950,,47,25
USC00193821,3/21/1950,,41,26
USC00193821,3/22/1950,,49,32
USC00193821,3/23/1950,,45,36
USC00193821,3/24/1950,,45,35
USC00193821,3/25/1950,,49,33
USC00193821,3/26/1950,,54,30
USC00193821,3/27/1950,,43,37
USC00193821,3/28/1950,,52,40
USC00193821,3/29/1950,,55,42
USC00193821,3/30/1950,,45,29
USC00193821,3/31/1950,,40,30
USC00193821,4/1/1950,,49,26
USC00193821,4/2/1950,,52,37
USC00193821,4/3/1950,,50,32
USC00193821,4/4/1950,,60,44
USC00193821,4/5/1950,,51,42
USC00193821,4/6/1950,,47,36
USC00193821,4/7/1950,,40,33
USC00193821,4/8/1950,,42,33
USC00193821,4/9/1950,,43,27
USC00193821,4/10/1950,,49,28
USC00193821,4/11/1950,,45,28
USC00193821,4/12/1950,,56,36
USC00193821,4/13/1950,,50,29
USC00193821,4/14/1950,,40,33
USC00193821,4/15/1950,,51,33
USC00193821,4/16/1950,,58,31
USC00193821,4/17/1950,,60,34
USC00193821,4/18/1950,,67,44
USC00193821,4/19/1950,,60,41
USC00193821,4/20/1950,,58,45
USC00193821,4/21/1950,,54,44
USC00193821,4/22/1950,,53,34
USC00193821,4/23/1950,,53,30
USC00193821,4/24/1950,,53,38
USC00193821,4/25/1950,,56,32
USC00193821,4/26/1950,,48,43
USC00193821,4/27/1950,,54,38
USC00193821,4/28/1950,,53,40
USC00193821,4/29/1950,,48,41
USC00193821,4/30/1950,,55,38
USC00193821,5/1/1950,,46,40
USC00193821,5/2/1950,,57,39
USC00193821,5/3/1950,,61,45
USC00193821,5/4/1950,,59,43
USC00193821,5/5/1950,,53,47
USC00193821,5/6/1950,,60,46
USC00193821,5/7/1950,,70,50
USC00193821,5/8/1950,,60,36
USC00193821,5/9/1950,,63,39
USC00193821,5/10/1950,,54,48
USC00193821,5/11/1950,,68,42
USC00193821,5/12/1950,,71,48
USC00193821,5/13/1950,,72,47
USC00193821,5/14/1950,,59,44
USC00193821,5/15/1950,,63,44
USC00193821,5/16/1950,,55,45
USC00193821,5/17/1950,,60,45
USC00193821,5/18/1950,,60,40
USC00193821,5/19/1950,,53,45
USC00193821,5/20/1950,,52,40
USC00193821,5/21/1950,,68,34
USC00193821,5/22/1950,,62,37
USC00193821,5/23/1950,,62,45
USC00193821,5/24/1950,,65,50
USC00193821,5/25/1950,,64,54
USC00193821,5/26/1950,,67,53
USC00193821,5/27/1950,,62,45
USC00193821,5/28/1950,,64,45
USC00193821,5/29/1950,,68,49
USC00193821,5/30/1950,,63,55
USC00193821,5/31/1950,,67,56
USC00193821,6/1/1950,,70,57
USC00193821,6/2/1950,,77,53
USC00193821,6/3/1950,,72,58
USC00193821,6/4/1950,,67,54
USC00193821,6/5/1950,,70,46
USC00193821,6/6/1950,,69,55
USC00193821,6/7/1950,,85,55
USC00193821,6/8/1950,,84,64
USC00193821,6/9/1950,,77,60
USC00193821,6/10/1950,,73,60
USC00193821,6/11/1950,,75,65
USC00193821,6/12/1950,,68,47
USC00193821,6/13/1950,,68,54
USC00193821,6/14/1950,,68,56
USC00193821,6/15/1950,,74,54
USC00193821,6/16/1950,,73,53
USC00193821,6/17/1950,,78,64
USC00193821,6/18/1950,,71,47
USC00193821,6/19/1950,,63,46
USC00193821,6/20/1950,,68,53
USC00193821,6/21/1950,,77,55
USC00193821,6/22/1950,,71,54
USC00193821,6/23/1950,,75,58
USC00193821,6/24/1950,,,
USC00193821,6/25/1950,,,
USC00193821,6/26/1950,,78,56
USC00193821,6/27/1950,,74,60
USC00193821,6/28/1950,,78,55
USC00193821,6/29/1950,,78,55
USC00193821,6/30/1950,,76,64
USC00193821,7/1/1950,,70,56
USC00193821,7/2/1950,,78,56
USC00193821,7/3/1950,,82,60
USC00193821,7/4/1950,,80,64
USC00193821,7/5/1950,,82,64
USC00193821,7/6/1950,,82,64
USC00193821,7/7/1950,,78,62
USC00193821,7/8/1950,,78,63
USC00193821,7/9/1950,,84,62
USC00193821,7/10/1950,,75,59
USC00193821,7/11/1950,,78,65
USC00193821,7/12/1950,,78,71
USC00193821,7/13/1950,,83,67
USC00193821,7/14/1950,,79,68
USC00193821,7/15/1950,,74,58
USC00193821,7/16/1950,,69,60
USC00193821,7/17/1950,,80,62
USC00193821,7/18/1950,,85,68
USC00193821,7/19/1950,,83,63
USC00193821,7/20/1950,,74,60
USC00193821,7/21/1950,,77,57
USC00193821,7/22/1950,,80,53
USC00193821,7/23/1950,,75,55
USC00193821,7/24/1950,,76,53
USC00193821,7/25/1950,,81,67
USC00193821,7/26/1950,,78,63
USC00193821,7/27/1950,,85,60
USC00193821,7/28/1950,,85,60
USC00193821,7/29/1950,,85,65
USC00193821,7/30/1950,,84,70
USC00193821,7/31/1950,,91,70
USC00193821,8/1/1950,,79,70
USC00193821,8/2/1950,,71,62
USC00193821,8/3/1950,,70,59
USC00193821,8/4/1950,,77,60
USC00193821,8/5/1950,,77,57
USC00193821,8/6/1950,,70,59
USC00193821,8/7/1950,,67,58
USC00193821,8/8/1950,,76,57
USC00193821,8/9/1950,,85,61
USC00193821,8/10/1950,,78,68
USC00193821,8/11/1950,,82,61
USC00193821,8/12/1950,,75,62
USC00193821,8/13/1950,,78,51
USC00193821,8/14/1950,,80,53
USC00193821,8/15/1950,,80,53
USC00193821,8/16/1950,,80,65
USC00193821,8/17/1950,,80,69
USC00193821,8/18/1950,,80,67
USC00193821,8/19/1950,,81,69
USC00193821,8/20/1950,,80,72
USC00193821,8/21/1950,,79,62
